,Tag,Question,Name
0,6,4,c#
1,0,2,.net
2,14,2,mysql
3,1,2,html
4,644,2,datetime
5,20,2,database
6,7560,1,opacity
7,2887,1,decimal
8,4413,1,type-conversion
9,5570,1,binary-data
10,11972,1,.net-3.5
11,8111,1,css3
12,2058,1,datediff
13,13819,1,winforms
14,13995,1,internet-explorer-7
15,22571,1,timezoneoffset
16,2300,1,data-storage
17,863,1,triggers
18,1301,1,pi
19,1261,1,web-services
20,500,1,timezone
21,312,1,performance
22,123,1,algorithm
23,22,1,unix
24,21,1,language-agnostic
25,19,1,linq
26,18,1,browser
27,3,1,css
28,41225,1,relative-time-span
